Rank,Traditional,Simplified,Pinyin,Meaning
392,進入,进入,jìnrù,"go_into, get_in, debouch, get in, go into, move into, come_into, pass, step_in, lapse, get_into, set in, go in, get into, kick in, penetrate, intromission, pierce, come_in, come in, enter, entry, sink, impenetrate"
393,例如,例如,lìrú,"for instance/example, e.g., such as"
394,得,得,děi,"should be, need"
395,討論,讨论,tǎolùn,"to discuss, to take something up with someone, to talk about"
396,依,依,yī,"according to, judging by"
397,作品,作品,zuòpǐn,"writing, musical composition, whole kit and caboodle, works (of literature, artwork, kit and caboodle, product, whole works, creation, full treatment, kit and boodle, whole kit and boodle, works (of literature/art), composition, thing, piece of music, workpiece, output, art), written material, opus, whole shebang, whole caboodle, production, whole kit, piece, workmanship, wo"
398,情形,情形,qíngxíng,"circumstance, trimness, event, trim, instance, state of affairs, case, circumstances, status, situation, condition"
399,資源,资源,zīyuán,"resource, natural resources, mine, resources"
400,原因,原因,yuányīn,"origin, causation, reason, wherefore, causal, breeder, spore, cause, causal agent, whence, causal agency, occasion, root, subject, causality, why, starter"
401,啦,啦,lā,particle: used when informing sb. of st.; indicating excitement/doubt/comfort/etc.
402,妳,妳,nǐ,you(female)
403,運動,运动,yùndòng,"sports, athletics, exercise, movement, campaign"
404,觀念,观念,guānniàn,"conception, intension, theory, philosophy, idolum, connotation, idea, sense, presentation, notion, concept, construct, intellection, presentment, thought, notional, conceit"
405,給,给,gěi,"for, for the benefit of, by (in passive cons.)"
406,軟體,软体,ruǎntǐ,software
407,品質,品质,pǐnzhí,"calibre, appraisal, caliber, character, self, intrinsic, brew, quality, timber, sort"
408,經過,经过,jīngguò,"pass, go through, undergo"
409,如此,如此,rúcǐ,"thus, like this, such"
410,嗯,嗯,ēn,"O.K., How come, Huh, What, Why, Agreed!, well, um"
411,精神,精神,jīngshén,"god, guts, heart, pneuma, consciousness, vigor, life, energy, vim, courage, esprit, moral, get-up-and-go, ginger, vitality, Psyche, psyche, spunk, gumption, juice, sand, mind, mental, mens, mickey, mettle, nature, grit, oomph, genius, vigour, substance, psychic, backbone, nous, nerve, pazazz, essence, pep, spirit, inward, drive, push, soul, gist"
412,影響,影响,yǐngxiǎng,influence
413,之,之,zhī,"it, him, her, this"
414,過,过,guò,"pass, cross, transfer (e.g., ownership), undergo a process, go through, celebrate, observe"
415,好像,好像,hǎoxiàng,"seem, be like"
416,成,成,chéng,"become, turn into"
417,參與,参与,cānyū,participate in
418,以後,以后,yǐhòu,"afterwards, later, future, in the future, hereafter"
419,於是,于是,yūshì,"conj.: thereupon, hence, consequently, as a result"
420,部分,部分,bùfèn,"partial, department, section, partialness, slice, pars, part, det.: part, percent, partage, sphere, component, divvy, segment, portion, fraction, sector, chapter, share, percentage, piece, division, sectional, parcel"
421,另外,另外,lìngwài,"conj.: in addition, besides, moreover"
422,公園,公园,gōngyuán,"common, green, garden, commons, park"
423,透過,透过,tòuguò,via
424,訓練,训练,xùnliàn,training
425,努力,努力,nǔlì,"make great effort, try hard"
426,研究,研究,yánjiù,"research, study"
427,具有,具有,jùyǒu,"be provided with, have, have got, possess, hold, possession, carry, inhere, bear"
428,共同,共同,gòngtóng,"common, joint"
429,所謂,所谓,suǒwèi,so-called
430,下,下,xià,"det.: next, second"
431,行為,行为,xíngwéi,"fact, demeanor, form, deportment, dealing, behavior, doings, course, act, point, goings-on, demeanour, procedure, lapse, going, bearing, turn, behaviour, activity, ongoing, thing, human action, conduct, commitment, human activity, behavioral, agency, deed, comportment, action"
432,合作,合作,hézuò,"cooperate, collaborate, work together"
433,經,经,jīng,"as a result of, through, after"
434,合作,合作,hézuò,"cooperate, collaborate, work together"
435,目標,目标,mùbiāo,"polestar, objective, goal, bourn, object, meaning, aim, end point, target, cause, landmark, butt, lodestar, bull's eye, mark, tee, cynosure, end, bell ringer, loadstar, quaesitum, destination"
436,起來,起来,qǐlái,[aspect]
437,考慮,考虑,kǎolù,"think over, consider"
438,長,长,cháng,"long, be strong/good (in/at)"
439,意見,意见,yìjiàn,"latitude, point_of_view, estimation, sight, conceit, verdict, hypothesis, attitude, estimate, possibility, judgement, appraisal, ground, slant, differing opinion, ruling, complaint, thinking, suggestion, comment, advisement, mind, apprehension, say, vote, impression, deliverance, view, understanding, feeling, idea, notion, sentiment, judgment, advice, current, opinion, advert, theory, v"
440,辦法,办法,bànfǎ,"road, expedient, policy, agency, measure, way, method, means"
441,音樂,音乐,yīnyuè,music
442,連,连,lián,conj.: including
443,受,受,shòu,passive signifier
444,廠商,厂商,chǎngshāng,"factory owner, factories and stores, firm, maker, business organization, business concern, manufacturing business, concern, manufacturer, business"
445,隻,只,zhī,m.[general]
446,受到,受到,shòudào,"experience, receive, come in for, suffer, undergo, come_in_for, be given, come_to, be subjected to"
447,一切,一切,yīqiè,"det.: everything, every"
448,或是,或是,huòshì,"conj.: or, perhaps"
449,中央,中央,zhōngyāng,central authorities (of state/party/etc.)
450,某,某,mǒu,"det.: some, certain"
451,女性,女性,nǔxìng,"lady, female sex, womankind, feminie, female, sex, petticoat, femininity, female person, woman, she, patroness, womanhood, fair, feminine"
452,教學,教学,jiāoxué,teach and study
453,極,极,jí,"extraordinary, unusual, special, very, extremely, highly"
454,獲得,获得,huòdé,"find, cop, acquirement, come_into, gain, draw, pick_up, pull, achievement, score, procure, come_by, get hold, purchase, nab, come upon, derive, latch, incur, achieve, make, bring, receive, arrive, come_out, pocket, obtain, luck into, sack, win, enter upon, pick up, garner, harvest, attain, come up, line up, extract, secure, possess, earn, reap, accrue, cover, take, acquire, get, arrive_at"
455,真的,真的,zhēnde,"really, truly, indeed"
456,路,路,lù,"road, path, way, journey, distance, means, sequence, logic, line, region, district, route, sort, grade, class"
457,來,来,lái,particle: used to denote the beginning of an action
458,快,快,kuài,"fast, quick, quick-witted, ingenious, sharp (of knives), straightforward"
459,國小,国小,guóxiǎo,"primary/elementary school, primary school"
460,部份,部份,bùfèn,"composition, segment, section, side, portion, slice, proportion, part, det.: part, share, component, division, phase, place, piece"
461,工程,工程,gōngchéng,"process, construction, engineering, engineering project, project"
462,女人,女人,nǔrén,"jade, crumpet, female, female person, Gill, bitch, chick, fair, squaw, womenfolk, adult female, doll, momma, wench, skirt, womankind, girl, jill, wife, broad, petticoat, sister, woman, bimbo, bird, jane, she, hen, hairpin, dame, women"
463,舉行,举行,jǔxíng,hold (meeting/etc.)
464,句,句,jù,"sentence, m.[general],"
465,只是,只是,zhǐshì,"merely, only, just, simply be"
466,段,段,duàn,m.[general]
467,根據,根据,gēnjù,"on the basis of, according to"
468,現象,现象,xiànxiàng,"phenomenon, phenomenal, appearance"
469,人民,人民,rénmín,"multitude, citizen, quarter, Volk, hoi polloi, subject, people, nationals, masses, the people, mass, demotic"
470,土地,土地,tǔdì,"country, acre, terra, soil, premise, realm, territory, dirt, local god of the land, farming, earth, ground, kingdom, holding, agrarian, solid ground, benefice, esplees, tract, village god, glebe, terra firma, land, dry land"
471,面對,面对,miànduì,"face up, stand up, face, look_out_on, confront, front, affront, envisage, accost, breast"
472,注意,注意,zhùyì,"pay attention to, take note of"
473,這裡,这里,zhèlǐ,"this place, there, here"
474,新聞,新闻,xīnwén,"unco, leak, intelligence, newsworthiness, witting, journalistic, information, journalism, courant, news"
475,繼續,继续,jìxù,"go, resume, keep_on, abide, come on, persist in, extend, run_on, run on, carry_on, stretch, sustain, pursue, keep going, continuance, get_along, get_on, remain, continue, keep_up, go ahead, keep up, come up, continuation, hold, carry, run, go_on, maintain, go on, bide, plow ahead, hold_on, piece, restart"
476,相信,相信,xiāngxìn,"deem, believe, credit, esteem, accredit, feel, trow, count, have faith in, guess, lippen, buy, be convinced of, hold, think, trust, accept, know, hone, believe_in, favour, believe in, hope"
477,政策,政策,zhèngcè,"statism, tack, line, policy, statecraft"
478,變成,变成,biànchéng,"grow_into, change into, go, form, grow into, change state, develop into, turn to, fall, turn_into, be, turn, become, turn into, grow, run, get"
479,計劃,计划,jìhuà,"plan, project, program"
480,強調,强调,qiángdiào,"underscore, spotlight, place emphasis on, point_up, highlight, point, point up, enforce, emphasise, urge, underline, overstress, give emphasis to, play up, keynote, insist, punctuate, accent, betone, foreground, emphasize, emphatic, stress, set off, overemphasize, accentuate, bring out"
481,學,学,xué,"study, learn, imitate, mimic"
482,人士,人士,rénshì,"public figure, personage"
483,前,前,qián,front
484,前,前,qián,"det.: former, preceding"
485,存在,存在,cúnzài,"exist, be"
486,制度,制度,zhìdù,"ism, organization, dispensation, regimen, machine, regulations, form, system, regime, organisation, economy, institutional, institution"
487,意義,意义,yìyì,"importance, significance, denotation, purport, drift, signality, emptiness, meaning, construction, bearing, substance, import, effect, insignificancy, hang, signification, sense"
488,代表,代表,dàibiǎo,"representative, delegate"
489,課程,课程,kèchéng,"course of instruction, lesson, course, course of lectures, course of study, curricular, class, curricula, syllabus, curriculum, program"
490,該,该,gāi,"ought to, should"
491,沒,没,méi,"not have, there is not, be without"
492,至,至,zhì,conj.:
493,需求,需求,xūqiú,"need, requisition, demand, want, desiderative, requirement, call"
494,人生,人生,rénshēng,"lifetime, life, lifespan, human life, time of life"
495,那些,那些,nǎxiē,det.: those
496,成功,成功,chénggōng,succeed
497,爸爸,爸爸,bàbà,"old man, father, papa, pappa, daddy, pa, begetter, pop, dada, dad, male parent, pater, pappy, pops, poppa"
498,產業,产业,chǎnyè,"estate, manufacture, industry, domain, manufacturing, property"
499,負責,负责,fùzé,"preside, be responsible for, see, entail, sponsor, be in charge of, blame, answer, undertake, liable, respond"
500,民間,民间,mínjiān,"grass roots, people-to-people, nongovernmental, among the people, folk, popular"
501,雖,虽,suī,"conj.: though, although, even if"
502,影響,影响,yǐngxiǎng,"influence, affect, effect"
503,直接,直接,zhíjiē,"direct, immediate"
504,幾乎,几乎,jīhū,"chiefly, anear, about, near, just_about, most, well-nigh, almost, closely, practically, intimately, all but, nearly, just about, virtually, much, nigh"
505,分,分,fèn,m.[general]
506,實際,实际,shíjì,"practical, literal"
507,團體,团体,tuántǐ,"fraternity, sect, phalanx, collective, body, group, sodality, element, organisation, corporation, confession, college, establishment, brotherhood, community, organization, squad, union, administration, society, army, commonwealth, consort, company, lineup, combine, governance, clan, combination, fellowship, organizational, bloc, team, party, connection, family, brass, squadron"
508,價值,价值,jiàzhí,"value, worth"
509,使得,使得,shǐdé,"render, wreck, compel, cause, make"
510,類,类,lèi,m.[kind]
511,形成,形成,xíngchéng,"take shape, form"
512,科技,科技,kējì,"technology, tech, engineering science, applied science, science and technology, technological, engineering"
513,這麼,这么,zhèmo,"so, such, this way, like this"
514,當,当,dāng,"assume office of, take charge of"
515,七,七,qī,det.: seven
516,不但,不但,búdàn,conj.: not only
517,往,往,wǎng,go toward
518,本身,本身,běnshēn,"per se, self, oneself, identity, itself"
519,標準,标准,biāozhǔn,"standard, criterion"
